"","price","shipping_cost","profit_margin","total_amount","discount","quantity","delivery_time_days"
"price",1,0.863045776921987,0.861115698128138,0.950323719950866,0.000937672869434957,0.000434005349923725,0.00430936976092245
"shipping_cost",0.863045776921987,1,0.803821701863364,0.907987131627968,-0.0439579946733924,0.263276977605322,0.00547617863692263
"profit_margin",0.861115698128138,0.803821701863364,1,0.91792286166637,-0.0524709122483389,0.296043010209694,0.00601905179468651
"total_amount",0.950323719950866,0.907987131627968,0.91792286166637,1,-0.0465518788030086,0.286313496693937,0.00505236145705997
"discount",0.000937672869434957,-0.0439579946733924,-0.0524709122483389,-0.0465518788030086,1,-0.00852773334526045,-0.00038036983581599
"quantity",0.000434005349923725,0.263276977605322,0.296043010209694,0.286313496693937,-0.00852773334526045,1,0.00173321410271332
"delivery_time_days",0.00430936976092245,0.00547617863692263,0.00601905179468651,0.00505236145705997,-0.00038036983581599,0.00173321410271332,1
