"customer_gender","customer_tier","AOV","mean_profit","group_total_profit","group_total_returns","customer_count","avg_r_score","contribution_percent","return_percent","returns_per_customer","churn_risk_level"
"Male","Gold",228.979611582509,220.706715063521,243218.8,399,1102,2.7032667876588,25.0736013622655,20.966894377299,0.362068965517241,"MEDIUM"
"Female","Gold",225.3885817254,219.527584320875,240821.76,397,1097,2.71103008204193,24.8264887812915,20.8617971623752,0.361896080218779,"MEDIUM"
"Female","Silver",169.11891350787,104.123841494195,206269.33,417,1981,1.91822311963655,21.2644538731447,21.9127693116132,0.210499747602221,"MEDIUM"
"Male","Silver",168.899664155649,102.77709761163,197948.69,438,1926,1.93561786085151,20.4066730994589,23.0162900683132,0.227414330218069,"MEDIUM"
"Female","Bronze",86.1996823858742,30.2267571059432,23395.51,86,774,1.17700258397933,2.41185998535844,4.51918024172359,0.111111111111111,"HIGH"
"Male","Bronze",89.5605691340782,31.8795391061453,22825.75,81,716,1.13268156424581,2.35312301637346,4.25643720441408,0.113128491620112,"HIGH"
"Other","Gold",228.708930605539,225.755060240964,18737.67,37,83,2.67469879518072,1.93167990318874,1.94429847609038,0.44578313253012,"MEDIUM"
"Other","Silver",141.370808193277,91.2585294117647,15513.95,39,170,1.93529411764706,1.599344285286,2.04939569101419,0.229411764705882,"MEDIUM"
"Other","Bronze",79.8924074074074,23.8509259259259,1287.95,9,54,1.14814814814815,0.13277569363277,0.47293746715712,0.166666666666667,"HIGH"
